slug,cornea_id,run_ts,run_dt_utc,percentile,horizon_h,valid_dt_utc,baseline_perim_ms,baseline_offset_h,actual_perim_ms,actual_offset_h,pixel_m,baseline_acres,pred_total_acres,pred_new_acres,act_new_acres,inter_acres,precision,recall,iou,act_outside_acres,act_offgrid_frac,expired_run,notes
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_092300,2026-08-13T09:23:00Z,10,12,2026-08-13T21:23:00Z,1786622737000,2.71,1786631995000,-6.72,30.0,88483.1,3004.6,2082.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_092300,2026-08-13T09:23:00Z,30,12,2026-08-13T21:23:00Z,1786622737000,2.71,1786631995000,-6.72,30.0,88483.1,4199.9,3059.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_092300,2026-08-13T09:23:00Z,50,12,2026-08-13T21:23:00Z,1786622737000,2.71,1786631995000,-6.72,30.0,88483.1,6404.7,4569.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_092300,2026-08-13T09:23:00Z,70,12,2026-08-13T21:23:00Z,1786622737000,2.71,1786631995000,-6.72,30.0,88483.1,7037.7,5223.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_092300,2026-08-13T09:23:00Z,90,12,2026-08-13T21:23:00Z,1786622737000,2.71,1786631995000,-6.72,30.0,88483.1,8909.6,6574.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_110300,2026-08-13T11:03:00Z,10,12,2026-08-13T23:03:00Z,1786622737000,1.04,1786631995000,-8.38,30.0,88486.5,5446.0,5442.7,0.0,0.0,0.0,,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_110300,2026-08-13T11:03:00Z,30,12,2026-08-13T23:03:00Z,1786622737000,1.04,1786631995000,-8.38,30.0,88486.5,6969.0,6965.6,0.0,0.0,0.0,,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_110300,2026-08-13T11:03:00Z,50,12,2026-08-13T23:03:00Z,1786622737000,1.04,1786631995000,-8.38,30.0,88486.5,7516.1,7512.1,0.0,0.0,0.0,,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_110300,2026-08-13T11:03:00Z,70,12,2026-08-13T23:03:00Z,1786622737000,1.04,1786631995000,-8.38,30.0,88486.5,8460.1,8456.3,0.0,0.0,0.0,,0.0,0.0,0.0,False,
ca-bug,ca6b8a6a-12e9-4e87-8f9b-5cb01dd5a25f,20260813_110300,2026-08-13T11:03:00Z,90,12,2026-08-13T23:03:00Z,1786622737000,1.04,1786631995000,-8.38,30.0,88486.5,11357.9,11353.9,0.0,0.0,0.0,,0.0,0.0,0.0,False,
ca-timber,b7e4a30e-67ab-4964-882e-751da30b44e0,20260812_220800,2026-08-12T22:08:00Z,10,12,2026-08-13T10:08:00Z,1786562961000,-2.64,1786586609000,-8.08,30.0,3772.5,584.5,545.3,303.1,51.4,0.0942,0.1695,0.0645,0.0,0.0,False,
ca-timber,b7e4a30e-67ab-4964-882e-751da30b44e0,20260812_220800,2026-08-12T22:08:00Z,30,12,2026-08-13T10:08:00Z,1786562961000,-2.64,1786586609000,-8.08,30.0,3772.5,784.2,744.8,303.1,65.4,0.0878,0.2157,0.0665,0.0,0.0,False,
ca-timber,b7e4a30e-67ab-4964-882e-751da30b44e0,20260812_220800,2026-08-12T22:08:00Z,50,12,2026-08-13T10:08:00Z,1786562961000,-2.64,1786586609000,-8.08,30.0,3772.5,942.3,902.9,303.1,69.4,0.0768,0.2289,0.061,0.0,0.0,False,
ca-timber,b7e4a30e-67ab-4964-882e-751da30b44e0,20260812_220800,2026-08-12T22:08:00Z,70,12,2026-08-13T10:08:00Z,1786562961000,-2.64,1786586609000,-8.08,30.0,3772.5,1160.2,1120.6,303.1,72.3,0.0645,0.2384,0.0535,0.0,0.0,False,
ca-timber,b7e4a30e-67ab-4964-882e-751da30b44e0,20260812_220800,2026-08-12T22:08:00Z,90,12,2026-08-13T10:08:00Z,1786562961000,-2.64,1786586609000,-8.08,30.0,3772.5,1178.9,1139.3,303.1,72.3,0.0634,0.2384,0.0528,0.0,0.0,False,
co-elk,{48A23460-97E0-47B3-BDA1-BE5B747A0B24},20260811_192900,2026-08-11T19:29:00Z,10,12,2026-08-12T07:29:00Z,1786484145000,2.11,1786484145000,-9.89,30.0,7403.5,43.6,43.6,0.0,0.0,0.0,,0.0,0.0,0.0,False,
co-elk,{48A23460-97E0-47B3-BDA1-BE5B747A0B24},20260811_192900,2026-08-11T19:29:00Z,10,24,2026-08-12T19:29:00Z,1786484145000,2.11,1786558121000,-1.34,30.0,7403.5,78.3,78.3,0.0,0.0,0.0,,0.0,0.0,0.0,False,
co-elk,{48A23460-97E0-47B3-BDA1-BE5B747A0B24},20260811_192900,2026-08-11T19:29:00Z,30,12,2026-08-12T07:29:00Z,1786484145000,2.11,1786484145000,-9.89,30.0,7403.5,60.9,60.9,0.0,0.0,0.0,,0.0,0.0,0.0,False,
co-elk,{48A23460-97E0-47B3-BDA1-BE5B747A0B24},20260811_192900,2026-08-11T19:29:00Z,30,24,2026-08-12T19:29:00Z,1786484145000,2.11,1786558121000,-1.34,30.0,7403.5,105.9,105.9,0.0,0.0,0.0,,0.0,0.0,0.0,False,
